"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"161",4,-2.96358118218461,-2.96358118218461,-2.96358118218461,-2.96358118218461,-2.96358118218461,-2.96358118218461
"162",5,-3.00542160404869,-3.00542160404869,-3.00542160404869,-3.00542160404869,-3.00542160404869,-3.00542160404869
"163",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"164",1,-2.51555625162015,-2.51555625162015,-2.51555625162015,-2.51555625162015,-2.51555625162015,-2.51555625162015
"165",2,-2.60157854246874,-2.60157854246874,-2.60157854246874,-2.60157854246874,-2.60157854246874,-2.60157854246874
"166",3,-2.66475308949702,-2.66475308949702,-2.66475308949702,-2.66475308949702,-2.66475308949702,-2.66475308949702
"167",4,-2.71273746146574,-2.71273746146574,-2.71273746146574,-2.71273746146574,-2.71273746146574,-2.71273746146574
"168",5,-2.75172439313695,-2.75172439313695,-2.75172439313695,-2.75172439313695,-2.75172439313695,-2.75172439313695
"169",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"170",1,-3.57243565550016,-3.57243565550016,-3.57243565550016,-3.57243565550016,-3.57243565550016,-3.57243565550016
"171",2,-3.68226648095425,-3.68226648095425,-3.68226648095425,-3.68226648095425,-3.68226648095425,-3.68226648095425
"172",3,-3.77465367660483,-3.77465367660483,-3.77465367660483,-3.77465367660483,-3.77465367660483,-3.77465367660483
"173",4,-3.85418353614903,-3.85418353614903,-3.85418353614903,-3.85418353614903,-3.85418353614903,-3.85418353614903
"174",5,-3.92395122798859,-3.92395122798859,-3.92395122798859,-3.92395122798859,-3.92395122798859,-3.92395122798859
"175",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"176",1,-2.98167210104581,-2.98167210104581,-2.98167210104581,-2.98167210104581,-2.98167210104581,-2.98167210104581
"177",2,-3.0798298330387,-3.0798298330387,-3.0798298330387,-3.0798298330387,-3.0798298330387,-3.0798298330387
"178",3,-3.16171739041504,-3.16171739041504,-3.16171739041504,-3.16171739041504,-3.16171739041504,-3.16171739041504
"179",4,-3.23215269692252,-3.23215269692252,-3.23215269692252,-3.23215269692252,-3.23215269692252,-3.23215269692252
"180",5,-3.29423113269156,-3.29423113269156,-3.29423113269156,-3.29423113269156,-3.29423113269156,-3.29423113269156
"181",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"182",1,-2.78101699042067,-2.78101699042067,-2.78101699042067,-2.78101699042067,-2.78101699042067,-2.78101699042067
